Division,Businesses,Govt,HE
"Agricultural, Veterinary and Food Sciences","1,533,930","635,516","647,952"
Biological Sciences,"344,734","432,713","1,087,808"
Biomedical and Clinical Sciences,"2,949,225","551,183","3,223,010"
Built Environment and Design,"447,907","19,715","246,733"
Chemical Sciences,"393,013","181,440","351,981"
"Commerce, Management, Tourism and Services","496,011","21,025","468,643"
Creative Arts and Writing,"15,696","5,231","114,870"
Earth Sciences,"150,669","283,082","349,667"
Economics,"97,145","38,760","274,873"
Education,"131,771","12,035","358,328"
Engineering,"5,399,774","484,506","1,650,471"
Environmental Sciences,"288,475","409,514","530,621"
Health Sciences,"250,724","191,421","1,539,778"
"History, Heritage and Archaeology",,"6,490","108,864"
Human Society,"25,433","96,316","643,439"
Indigenous Studies,,"45,817","257,597"
Information and Computing Sciences,"7,927,016","442,332","630,626"
"Language, Communication and Culture","6,391","1,257","211,012"
Law and Legal Studies,"4,902","3,039","187,166"
Mathematical Sciences,"32,008","187,632","176,608"
Philosophy and Religious Studies,0,0,"74,463"
Physical Sciences,"138,481","281,949","441,320"
Psychology,"5,528","13,405","414,589"
Total,"20,641,516","4,344,376","13,990,418"
