,"Total Agriculture, Forestry and Fishing",Total Mining,Total Manufacturing,"Total Electricity, Gas, Water and Waste Services",Total Construction,Total Wholesale Trade,Total Retail Trade,Total Accommodation and Food Services,"Total Transport, Postal and Warehousing",Total Information Media and Telecommunications,Total Financial and Insurance Services,"Total Rental, Hiring and Real Estate Services","Total Professional, Scientific and Technical Services",Total Administrative and Support Services,Total Public Administration and Safety,Total Education and Training,Total Health Care and Social Assistance,Total Arts and Recreation Services,Total Other Services,Total
New South Wales,"48,840","51,092","1,369,739","101,769","100,925","337,878","69,838",,,"343,584","1,817,975","75,237","2,672,888","94,274","16,380","52,012","71,434",,,"7,500,653"
Victoria,"41,869","62,796","1,794,801","114,241","31,503","335,435","169,049",,"68,606",,"964,041","30,252","1,802,889","125,431","7,888","15,268","52,491","64,032","28,588","5,948,397"
Queensland,"149,629","139,326","515,295","44,307","45,244","127,368","47,884","12,341","25,738","68,703",,"81,463","1,094,027","19,109",,"4,358","50,640","11,342",,"2,559,716"
South Australia,"24,549","17,560","130,274","28,129",,"42,478","20,199",,,"21,527",,"40,203","235,501",,0,"5,962","7,747",0,"14,342","665,282"
Western Australia,"45,809","565,549","307,888","34,943","50,730","56,808","41,157",,,"42,611",,"20,455","403,244","18,691",,"7,076",,0,"13,878","1,706,112"
Tasmania,"128,865","2,948",,,"6,529","2,317","1,627",,0,730,,,,0,0,,,0,,"285,731"
Northern Territory,,"35,622",,"10,688",0,651,0,,0,0,,0,,0,0,0,,0,,"67,899"
Australian Capital Territory,0,,,,,,,,,"35,280",0,,"117,512",0,0,,"2,121",0,,"194,028"
Overseas,,,"1,005,436","10,166","5,863",,,0,0,,"71,360",,"560,204",,0,"2,897","6,727",0,"1,327","1,713,698"
Total expenditure on R&D,"454,388","885,615","5,202,643","346,668","244,014","920,193","351,301","31,196","169,883","758,370","3,072,002","256,511","6,971,982","261,385",,"91,019","223,749",,,"20,641,516"
